0,1,2,3,4,5,6,7,8
22.450000000000006,12.58,12.040000000000001,16.51,9.270000000000001,1.12,21.400000000000006,8.01,11.62
12.870000000000003,9.219999999999997,4.8999999999999995,8.66,4.759999999999999,13.26,11.820000000000002,9.97,12.95
12.190000000000001,6.499999999999999,2.18,7.65,2.04,11.63,11.14,7.250000000000001,10.23
11.870000000000003,8.219999999999997,3.9,7.66,3.76,12.26,10.820000000000002,8.97,11.950000000000001
13.180000000000001,5.18,2.82,7.9799999999999995,0.0,9.590000000000002,12.13,5.21,8.19
19.730000000000004,9.86,9.32,13.79,6.55,3.04,18.680000000000003,5.29,8.9
22.490000000000006,12.62,12.08,16.55,9.31,0.28,21.440000000000005,8.049999999999999,11.659999999999998
35.92999999999999,26.05999999999999,25.519999999999992,29.989999999999988,22.749999999999993,13.329999999999998,34.87999999999999,21.489999999999995,25.099999999999998
35.92999999999999,26.05999999999999,25.519999999999992,29.989999999999988,22.749999999999993,13.329999999999998,34.87999999999999,21.489999999999995,25.099999999999998
37.839999999999996,27.96999999999999,27.429999999999993,31.899999999999988,24.659999999999993,15.239999999999998,36.78999999999999,23.399999999999995,27.009999999999998
36.39999999999999,26.52999999999999,25.98999999999999,30.459999999999987,23.21999999999999,13.799999999999997,35.34999999999999,21.959999999999994,25.569999999999997
36.39999999999999,26.52999999999999,25.98999999999999,30.459999999999987,23.21999999999999,13.799999999999997,35.34999999999999,21.959999999999994,25.569999999999997
36.39999999999999,26.52999999999999,25.98999999999999,30.459999999999987,23.21999999999999,13.799999999999997,35.34999999999999,21.959999999999994,25.569999999999997
35.66,25.789999999999992,25.249999999999993,29.719999999999988,22.479999999999993,13.059999999999999,34.60999999999999,21.219999999999995,24.83
37.839999999999996,27.96999999999999,27.429999999999993,31.899999999999988,24.659999999999993,15.239999999999998,36.78999999999999,23.399999999999995,27.009999999999998
37.839999999999996,27.96999999999999,27.429999999999993,31.899999999999988,24.659999999999993,15.239999999999998,36.78999999999999,23.399999999999995,27.009999999999998
37.839999999999996,27.96999999999999,27.429999999999993,31.899999999999988,24.659999999999993,15.239999999999998,36.78999999999999,23.399999999999995,27.009999999999998
37.839999999999996,27.96999999999999,27.429999999999993,31.899999999999988,24.659999999999993,15.239999999999998,36.78999999999999,23.399999999999995,27.009999999999998
37.839999999999996,27.96999999999999,27.429999999999993,31.899999999999988,24.659999999999993,15.239999999999998,36.78999999999999,23.399999999999995,27.009999999999998
38.75999999999999,28.889999999999993,28.349999999999994,32.819999999999986,25.579999999999995,16.16,37.70999999999999,24.319999999999997,27.93
38.75999999999999,28.889999999999993,28.349999999999994,32.819999999999986,25.579999999999995,16.16,37.70999999999999,24.319999999999997,27.93
38.75999999999999,28.889999999999993,28.349999999999994,32.819999999999986,25.579999999999995,16.16,37.70999999999999,24.319999999999997,27.93
35.92999999999999,26.05999999999999,25.519999999999992,29.989999999999988,22.749999999999993,13.329999999999998,34.87999999999999,21.489999999999995,25.099999999999998
35.92999999999999,26.05999999999999,25.519999999999992,29.989999999999988,22.749999999999993,13.329999999999998,34.87999999999999,21.489999999999995,25.099999999999998
36.39999999999999,26.52999999999999,25.98999999999999,30.459999999999987,23.21999999999999,13.799999999999997,35.34999999999999,21.959999999999994,25.569999999999997
36.39999999999999,26.52999999999999,25.98999999999999,30.459999999999987,23.21999999999999,13.799999999999997,35.34999999999999,21.959999999999994,25.569999999999997
35.92999999999999,26.05999999999999,25.519999999999992,29.989999999999988,22.749999999999993,13.329999999999998,34.87999999999999,21.489999999999995,25.099999999999998
36.39999999999999,26.52999999999999,25.98999999999999,30.459999999999987,23.21999999999999,13.799999999999997,35.34999999999999,21.959999999999994,25.569999999999997
37.839999999999996,27.96999999999999,27.429999999999993,31.899999999999988,24.659999999999993,15.239999999999998,36.78999999999999,23.399999999999995,27.009999999999998
35.85999999999999,25.98999999999999,25.449999999999992,29.919999999999987,22.679999999999993,13.259999999999998,34.80999999999999,21.419999999999995,25.029999999999998
35.85999999999999,25.98999999999999,25.449999999999992,29.919999999999987,22.679999999999993,13.259999999999998,34.80999999999999,21.419999999999995,25.029999999999998
35.92999999999999,26.05999999999999,25.519999999999992,29.989999999999988,22.749999999999993,13.329999999999998,34.87999999999999,21.489999999999995,25.099999999999998
35.92999999999999,26.05999999999999,25.519999999999992,29.989999999999988,22.749999999999993,13.329999999999998,34.87999999999999,21.489999999999995,25.099999999999998
35.92999999999999,26.05999999999999,25.519999999999992,29.989999999999988,22.749999999999993,13.329999999999998,34.87999999999999,21.489999999999995,25.099999999999998
35.92999999999999,26.05999999999999,25.519999999999992,29.989999999999988,22.749999999999993,13.329999999999998,34.87999999999999,21.489999999999995,25.099999999999998
35.92999999999999,26.05999999999999,25.519999999999992,29.989999999999988,22.749999999999993,13.329999999999998,34.87999999999999,21.489999999999995,25.099999999999998
35.85999999999999,25.98999999999999,25.449999999999992,29.919999999999987,22.679999999999993,13.259999999999998,34.80999999999999,21.419999999999995,25.029999999999998
12.980000000000002,7.99,4.140000000000001,8.77,2.8100000000000005,11.149999999999999,11.930000000000001,8.020000000000001,11.000000000000002
12.980000000000002,7.99,4.140000000000001,8.77,2.8100000000000005,11.149999999999999,11.930000000000001,8.020000000000001,11.000000000000002
12.980000000000002,7.99,4.140000000000001,8.77,2.8100000000000005,11.149999999999999,11.930000000000001,8.020000000000001,11.000000000000002
12.980000000000002,7.99,4.140000000000001,8.77,2.8100000000000005,11.149999999999999,11.930000000000001,8.020000000000001,11.000000000000002
